279,#,0
贺,H,97
274,#,0
陶,T,0
顾,G,81
272,#,0
龚,G,99
264,#,0
郝,H,71
邵,S,83
262,#,0
万,W,86
254,#,0
严,Y,0
246,#,0
洪,H,0
240,#,0
赖,L,98
武,W,95
239,#,0
傅,F,36
236,#,0
莫,M,0
233,#,0
孔,K,72
231,#,0
汤,T,90
227,#,0
向,X,0
226,#,0
常,C,94
218,#,0
温,W,0
217,#,0
康,K,75
211,#,0
施,S,0
206,#,0
文,W,100
204,#,0
牛,N,0
202,#,0
樊,F,0
200,#,0
葛,G,0
195,#,0
邢,X,0
192,#,0
安,A,0
179,#,0
齐,Q,0
176,#,0
易,Y,93
175,#,0
乔,Q,96
173,#,0
伍,W,0
171,#,0
庞,P,0
167,#,0
颜,Y,0
164,#,0
倪,N,0
163,#,0
庄,Z,0
162,#,0
聂,N,0
159,#,0
章,Z,0
157,#,0
鲁,L,0
151,#,0
岳,Y,0
149,#,0
翟,Z,0
申,S,0
147,#,0
殷,Y,0
詹,Z,0
欧,O,0
146,#,0
耿,G,0
140,#,0
关,G,0
137,#,0
覃,#,0
136,#,0
兰,#,0
134,#,0
焦,J,0
133,#,0
俞,Y,0
132,#,0
左,Z,0
131,#,0
柳,L,0
129,#,0
甘,G,0
126,#,0
祝,Z,0
120,#,0
包,B,0
115,#,0
代,#,0
112,#,0
宁,N,0
110,#,0
符,F,0
109,#,0
阮,R,0
尚,S,0
舒,S,0
纪,J,0
106,#,0
柯,K,0
梅,M,0
105,#,0
童,T,0
毕,B,0
103,#,0
凌,L,0
单,S,0
101,#,0
季,J,0
成,C,0
100,#,0
霍,H,0
苗,M,0
裴,P,0
涂,T,0
谷,G,0
99,#,0
曲,Q,0
98,#,0
盛,S,0
冉,R,0
97,#,0
翁,W,0
蓝,L,0
96,#,0
骆,L,0
路,L,0
95,#,0
游,Y,0
94,#,0
靳,J,0
92,#,0
辛,X,0
欧阳,O,0
91,#,0
管,G,0
87,#,0
柴,C,0
86,#,0
蒙,M,0
83,#,0
鲍,B,0
82,#,0
华,H,0
喻,Y,0
81,#,0
祁,Q,0
80,#,0
房,F,0
75,#,0
蒲,P,0
滕,T,0
74,#,0
萧,X,30
73,#,0
屈,Q,0
饶,R,0
解,X,0
71,#,0
牟,M,0
70,#,0
艾,A,0
69,#,0
尤,Y,0
68,#,0
时,S,0
67,#,0
阳,Y,0
阎,Y,50
66,#,0
穆,M,0
64,#,0
应,Y,0
63,#,0
农,N,0
62,#,0
司,S,0
59,#,0
古,G,0
58,#,0
吉,J,0
卓,Z,0
车,C,0
57,#,0
简,J,0
连,L,0
缪,M,0
项,X,0
麦,#,0
55,#,0
褚,C,0
54,#,0
窦,D,0
53,#,0
娄,L,0
戚,Q,0
岑,C,0
52,#,0
党,D,0
宫,G,0
景,J,0
卜,B,0
51,#,0
费,F,0
冷,L,0
50,#,0
晏,Y,0
卫,W,0
48,#,0
席,X,0
柏,B,0
46,#,0
米,M,0
隋,#,0
宗,Z,0
45,#,0
桂,G,0
44,#,0
瞿,Q,0
全,Q,0
苟,#,0
43,#,0
楼,#,0
闵,M,0
佟,T,0
臧,Z,0
边,B,0
42,#,0
卞,B,0
姬,J,0
邬,W,0
和,H,0
41,#,0
师,S,0
仇,Q,0
40,#,0
栾,L,0
丘,#,0
刁,D,0
39,#,0
沙,S,0
商,S,0
寇,K,0
38,#,0
荣,R,0
巫,W,0
郎,L,0
37,#,0
桑,S,0
丛,#,0
36,#,0
甄,Z,0
敖,A,0
35,#,0
虞,Y,0
仲,Z,0
池,C,0
34,#,0
巩,G,0
明,M,0
佘,S,0
查,Z,0
33,#,0
麻,M,0
苑,#,0
迟,#,0
32,#,0
邝,#,0
封,F,0
31,#,0
官,#,0
谈,T,0
鞠,J,0
30,#,0
匡,K,0
惠,H,0
29,#,0
荆,J,0
28,#,0
乐,L,0
冀,J,0
胥,X,0
郁,Y,0
南,#,0
27,#,0
班,B,0
储,C,0
芦,#,0
原,#,0
栗,#,0
26,#,0
燕,Y,0
楚,C,0
鄢,Y,0
扬,#,0
劳,L,0
25,#,0
谌,#,0
24,#,0
奚,X,0
23,#,0
皮,P,0
22,#,0
蔺,L,0
粟,#,0
冼,#,0
盘,#,0
满,M,0
21,#,0
闻,W,0
厉,L,0
20,#,0
